NAME                                    VERSION                               TYPE                        
libstdc++-dev                           13.2.1_git20231014-r0                 apk                          
libunistring                            1.1-r2                                apk                          
libxxhash                               0.8.2-r2                              apk                          
linux-pam                               1.5.3-r7                              apk                          
lru-cache                               10.1.0                                npm                          
lru-cache                               6.0.0                                 npm                          
lz4-libs                                1.9.4-r5                              apk                          
make-fetch-happen                       13.0.0                                npm                          
mariadb-client                          10.11.6-r0                            apk                          
mariadb-common                          10.11.6-r0                            apk                          
minimatch                               9.0.3                                 npm                          
minipass                                3.3.6                                 npm        (+5 duplicates)   
minipass                                5.0.0                                 npm                          
minipass                                7.0.4                                 npm                          
minipass-collect                        2.0.1                                 npm                          
minipass-fetch                          3.0.4                                 npm                          
minipass-flush                          1.0.5                                 npm                          
minipass-json-stream                    1.0.1                                 npm                          
minipass-pipeline                       1.2.4                                 npm                          
minipass-sized                          1.0.3                                 npm                          
minizlib                                2.1.2                                 npm                          
mkdirp                                  1.0.4                                 npm                          
mpc1                                    1.3.1-r1                              apk                          
mpdecimal                               2.5.1-r2                              apk                          
mpfr4                                   4.2.1-r0                              apk                          
ms                                      2.1.2                                 npm                          
ms                                      2.1.3                                 npm                          
musl                                    1.2.4_git20230717-r4                  apk                          
musl-dev                                1.2.4_git20230717-r4                  apk                          
musl-utils                              1.2.4_git20230717-r4                  apk                          
mute-stream                             1.0.0                                 npm                          
mysql-client                            10.11.6-r0                            apk                          
ncurses-terminfo-base                   6.4_p20231125-r0                      apk                          
negotiator                              0.6.3                                 npm                          
netaddr                                 1.3.0                                 python                       
netcat-openbsd                          1.226-r0                              apk                          
nghttp2-dev                             1.58.0-r0                             apk                          
nghttp2-libs                            1.58.0-r0                             apk                          
node-gyp                                10.0.1                                npm                          
nodejs                                  20.12.1-r0                            apk                          
nopt                                    7.2.0                                 npm                          
normalize-package-data                  6.0.0                                 npm                          
npm                                     10.2.5                                npm                          
npm                                     10.2.5-r0                             apk                          
npm-audit-report                        5.0.0                                 npm                          
npm-bundled                             3.0.0                                 npm                          
npm-install-checks                      6.3.0                                 npm                          
npm-normalize-package-bin               3.0.1                                 npm                          
npm-package-arg                         11.0.1                                npm                          
npm-packlist                            8.0.1                                 npm                          
npm-pick-manifest                       9.0.0                                 npm                          
npm-profile                             9.0.0                                 npm                          
npm-registry-fetch                      16.1.0                                npm                          
npm-user-validate                       2.0.0                                 npm                          
npmlog                                  7.0.1                                 npm                          
oniguruma                               6.9.9-r0                              apk                          
openssh-client-common                   9.6_p1-r0                             apk                          
openssh-client-default                  9.6_p1-r0                             apk                          
openssh-keygen                          9.6_p1-r0                             apk                          
openssl                                 3.1.5-r0                              apk                          
openssl-dev                             3.1.5-r0                              apk                          
p-map                                   4.0.0                                 npm                          
packaging                               23.2                                  python                       
packaging                               24.1                                  python                       
pacote                                  17.0.5                                npm                          
parse-conflict-json                     3.0.1                                 npm                          
passlib                                 1.7.4                                 python                       
path-key                                3.1.1                                 npm                          
path-scurry                             1.10.1                                npm                          
pcre2                                   10.42-r2                              apk                          
perl                                    5.38.2-r0                             apk                          
perl-error                              0.17029-r2                            apk                          
perl-git                                2.43.4-r0                             apk                          
pip                                     23.3.1                                python                       
pip                                     24.1                                  python                       
pkgconf                                 2.1.0-r0                              apk                          
platformdirs                            4.0.0                                 python                       
popt                                    1.19-r3                               apk                          
postcss-selector-parser                 6.0.13                                npm                          
proc-log                                3.0.0                                 npm                          
process                                 0.11.10                               npm                          
procps-ng                               4.0.4-r0                              apk                          
promise-all-reject-late                 1.0.1                                 npm                          
promise-call-limit                      1.0.2                                 npm                          
promise-inflight                        1.0.1                                 npm                          
promise-retry                           2.0.1                                 npm                          
promzard                                1.0.0                                 npm                          
py3-cffi                                1.16.0-r0                             apk                          
py3-cffi-pyc                            1.16.0-r0                             apk                          
py3-cparser                             2.21-r4                               apk                          
py3-cparser-pyc                         2.21-r4                               apk                          
py3-cryptography                        41.0.7-r0                             apk                          
py3-cryptography-pyc                    41.0.7-r0                             apk                          
py3-distlib                             0.3.7-r2                              apk                          
py3-distlib-pyc                         0.3.7-r2                              apk                          
py3-filelock                            3.12.4-r0                             apk                          
py3-filelock-pyc                        3.12.4-r0                             apk                          
py3-openssl                             23.3.0-r0                             apk                          
py3-openssl-pyc                         23.3.0-r0                             apk                          
py3-packaging                           23.2-r0                               apk                          
py3-packaging-pyc                       23.2-r0                               apk                          
py3-parsing                             3.1.1-r0                              apk                          
py3-parsing-pyc                         3.1.1-r0                              apk                          
py3-pip                                 23.3.1-r0                             apk                          
py3-pip-pyc                             23.3.1-r0                             apk                          
py3-platformdirs                        4.0.0-r0                              apk                          
py3-platformdirs-pyc                    4.0.0-r0                              apk                          
py3-setuptools                          68.2.2-r0                             apk                          
py3-setuptools-pyc                      68.2.2-r0                             apk                          
py3-virtualenv                          20.24.6-r0                            apk                          
py3-virtualenv-pyc                      20.24.6-r0                            apk                          
pyOpenSSL                               23.3.0                                python                       
pyc                                     3.11.9-r0                             apk                          
pycparser                               2.21                                  python                       
pycparser                               2.22                                  python                       
pyparsing                               3.1.1                                 python                       
python-dateutil                         2.9.0.post0                           python                       
python3                                 3.11.9-r0                             apk                          
python3-pyc                             3.11.9-r0                             apk                          
python3-pycache-pyc0                    3.11.9-r0                             apk                          
qrcode-terminal                         0.12.0                                npm                          
read                                    2.1.0                                 npm                          
read-cmd-shim                           4.0.0                                 npm                          
read-package-json                       7.0.0                                 npm                          
read-package-json-fast                  3.0.2                                 npm                          
readable-stream                         4.4.2                                 npm                          
readline                                8.2.1-r2                              apk                          
requests                                2.32.3                                python                       
resolvelib                              1.0.1                                 python                       
retry                                   0.12.0                                npm                          
rsync                                   3.2.7-r4                              apk                          
s3transfer                              0.10.2                                python                       
safe-buffer                             5.2.1                                 npm                          
safer-buffer                            2.1.2                                 npm                          
scanelf                                 1.3.7-r2                              apk                          
semver                                  7.5.4                                 npm                          
set-blocking                            2.0.0                                 npm                          
setuptools                              65.5.0                                python                       
setuptools                              68.2.2                                python                       
shadow                                  4.14.2-r0                             apk                          
shebang-command                         2.0.0                                 npm                          
shebang-regex                           3.0.0                                 npm                          
signal-exit                             4.1.0                                 npm                          
sigstore                                2.1.0                                 npm                          
six                                     1.16.0                                python                       
skalibs                                 2.14.0.1-r0                           apk                          
smart-buffer                            4.2.0                                 npm                          
socks                                   2.7.1                                 npm                          
socks-proxy-agent                       8.0.2                                 npm                          
spdx-correct                            3.2.0                                 npm                          
spdx-exceptions                         2.3.0                                 npm                          
spdx-expression-parse                   3.0.1                                 npm                          
spdx-license-ids                        3.0.16                                npm                          
sqlite-libs                             3.44.2-r0                             apk                          
sshpass                                 1.10-r0                               apk                          
ssl_client                              1.36.1-r19                            apk                          
ssri                                    10.0.5                                npm                          
stdlib                                  go1.22.3                              go-module                    
string-width                            4.2.3                                 npm        (+1 duplicate)    
string-width                            5.1.2                                 npm        (+1 duplicate)    
string_decoder                          1.3.0                                 npm                          
strip-ansi                              6.0.1                                 npm        (+6 duplicates)   
strip-ansi                              7.1.0                                 npm                          
supports-color                          9.4.0                                 npm                          
tar                                     6.2.0                                 npm                          
text-table                              0.2.0                                 npm                          
tiny-relative-date                      1.3.0                                 npm                          
treeverse                               3.0.0                                 npm                          
tuf-js                                  2.1.0                                 npm                          
tzdata                                  2024a-r0                              apk                          
unique-filename                         3.0.0                                 npm                          
unique-slug                             4.0.0                                 npm                          
urllib3                                 2.2.2                                 python                       
util-deprecate                          1.0.2                                 npm                          
utmps-libs                              0.1.2.2-r0                            apk                          
validate-npm-package-license            3.0.4                                 npm                          
validate-npm-package-name               5.0.0                                 npm                          
virtualenv                              20.24.6                               python                       
walk-up-path                            3.0.1                                 npm                          
wcwidth                                 1.0.1                                 npm                          
which                                   2.0.2                                 npm                          
which                                   4.0.0                                 npm                          
wide-align                              1.1.5                                 npm                          
wrap-ansi                               7.0.0                                 npm                          
wrap-ansi                               8.1.0                                 npm                          
write-file-atomic                       5.0.1                                 npm                          
xz-libs                                 5.4.5-r0                              apk                          
yallist                                 4.0.0                                 npm                          
zlib                                    1.3.1-r0                              apk                          
zlib-dev                                1.3.1-r0                              apk                          
zstd-libs                               1.5.5-r8                              apk                          
